Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time
Pash S,1,none,Forehand,Slice,36.740845,9,2,1,short,deuce,far,-2.681515,17.710094,deep,deuce,near,3.44957,0.519669,1.060353,cross court,In,false,18:47:34,377.76001
Opponent,1,first_serve,Serve,Flat,57.086884,9,2,1,short,deuce,near,1.924603,8.576902,deep,deuce,far,-1.648558,24.658972,2.658534,down the T,In,false,18:47:42,385.869995
Pash S,2,first_return,Forehand,Topspin,46.451004,9,2,1,deep,ad,far,0.30396,23.086416,out,deuce,near,3.877177,-0.729298,1.246215,down the line,In,false,18:47:43,387.220001
Opponent,3,serve_plus_one,Backhand,Topspin,35.361534,9,2,1,short,deuce,near,1.243431,5.72096,deep,ad,far,0.692399,24.620737,0.926142,down the line,In,false,18:47:45,388.589996
Pash S,4,return_plus_one,Forehand,Topspin,53.617237,9,2,1,deep,deuce,far,-2.935343,19.960117,deep,deuce,near,0.974632,0.999606,1.205261,cross court,In,false,18:47:47,390.519989
Opponent,6,none,Feed,Topspin,22.516716,9,2,1,out,ad,far,2.063022,24.191984,deep,deuce,far,-2.784799,23.485952,2.194678,---,Net,false,18:47:55,398.429993
Opponent,1,first_serve,Serve,Flat,79.637512,10,2,1,short,ad_alley,near,-4.156793,5.747269,deep,ad,far,1.233795,23.2563,2.158602,out wide,Out,false,18:48:04,407.790009
Pash S,1,none,Backhand,Topspin,46.591358,10,2,1,short,deuce,far,-0.431069,14.985806,deep,ad,near,-3.821484,2.849147,1.998106,down the line,In,false,18:48:05,408.98999
Pash S,2,none,Feed,Flat,19.918634,10,2,1,deep,deuce,far,-1.08856,18.327789,short,ad,near,-2.357584,8.824447,2.410074,---,In,false,18:48:17,421.200012
Opponent,1,first_serve,Serve,Slice,52.051289,10,2,1,short,ad,near,-1.02278,6.359885,deep,ad,far,1.409256,23.467806,2.572361,down the T,In,false,18:48:30,433.809998
Pash S,2,first_return,Forehand,Topspin,42.886738,10,2,1,deep,ad,far,0.593908,18.750528,out,ad,near,-1.71129,-1.488162,1.007711,inside out,In,false,18:48:31,435.100006
Opponent,3,serve_plus_one,Forehand,Topspin,47.855915,10,2,1,short,ad,near,-1.141658,6.724156,deep,ad,far,0.840822,23.130278,1.293584,inside out,In,false,18:48:33,436.820007
Pash S,4,return_plus_one,Backhand,Topspin,45.114162,10,2,1,deep,deuce,far,-2.898249,20.228968,out,ad,near,-2.187347,-0.609142,0.606982,down the line,In,false,18:48:34,438.170013
Opponent,5,in_play,Forehand,Topspin,53.499065,10,2,1,deep,deuce,near,1.359197,4.508245,out,deuce,far,-2.423019,25.341236,1.154242,cross court,In,false,18:48:36,439.920013
Pash S,6,in_play,Forehand,Topspin,43.116402,10,2,1,short,ad,near,-1.631614,11.663752,deep,deuce,near,2.95531,0.050159,1.046665,down the line,Net,false,18:48:38,441.339996
Pash S,9,none,Feed,Topspin,12.296117,10,2,1,short,ad,near,-1.17653,5.916289,short,deuce,near,1.996523,9.534268,2.961389,---,Net,false,18:48:41,445.070007
Pash S,10,none,Feed,Flat,19.052607,10,2,1,deep,ad,far,3.318104,23.074722,short,deuce,near,1.355187,5.158672,3.040686,---,In,false,18:48:44,448.230011
Opponent,1,first_serve,Serve,Slice,64.502342,11,2,1,short,deuce,near,1.774432,7.191031,deep,deuce,far,-1.260704,23.085112,2.573107,down the T,In,false,18:48:58,461.660004
Pash S,1,none,Forehand,Slice,38.995075,11,2,1,deep,deuce,far,-2.0678,21.221561,deep,deuce_alley,near,4.282278,0.181613,0.981046,down the line,In,false,18:48:59,462.73999
Opponent,1,first_serve,Serve,Slice,64.230759,11,2,1,short,deuce,near,0.634106,8.076014,deep,deuce,far,-0.914847,23.684401,2.450932,down the T,In,false,18:49:06,470.220001
Pash S,2,first_return,Backhand,Slice,32.649639,11,2,1,short,deuce,near,0.408603,11.111552,deep,deuce,near,0.54615,1.158836,0.905322,inside out,Net,false,18:49:07,471.170013
Pash S,3,serve_plus_one,Backhand,Topspin,34.424908,11,2,1,deep,deuce,far,-1.858729,18.804667,deep,ad,near,-2.6511,1.226582,2.011556,down the line,In,false,18:49:11,475.049988
Opponent,1,first_serve,Serve,Slice,44.073833,12,2,1,deep,ad,near,-1.910083,5.485182,deep,ad,far,2.138089,22.457113,2.258134,down the T,Out,false,18:49:38,501.399994
Pash S,2,first_return,Forehand,Flat,35.008381,12,2,1,deep,ad,far,0.989472,22.387314,out,ad,near,-3.12405,-1.593654,1.233202,inside out,In,false,18:49:39,502.76001
Opponent,3,serve_plus_one,Forehand,Flat,35.635929,12,2,1,deep,deuce,near,3.377803,4.302551,deep,ad,far,0.98422,24.846121,0.678212,inside in,In,false,18:49:42,505.75
Pash S,4,return_plus_one,Forehand,Topspin,50.999435,12,2,1,short,deuce,far,-1.310236,15.541587,out,deuce,near,3.996377,-2.012995,1.097404,cross court,In,false,18:49:44,508.070007
Opponent,5,in_play,Forehand,Slice,28.338625,12,2,1,short,ad,far,0.615401,18.018969,deep,deuce,far,-3.126088,24.383154,0.706497,down the line,Net,false,18:49:46,509.709991
Pash S,5,none,Feed,Flat,16.906532,12,2,1,short,ad,far,2.580252,13.688576,short,deuce,near,2.043685,9.617599,4.992621,---,In,false,18:49:58,521.299988
Pash S,1,first_serve,Serve,Slice,65.495216,13,2,1,deep,deuce,near,2.89009,4.34537,deep,deuce,far,-1.610701,24.226652,2.716892,out wide,Out,false,18:50:14,537.700012
Opponent,1,none,Forehand,Slice,32.865162,13,2,1,deep,deuce,near,2.196479,5.27665,out,deuce,near,3.689152,-0.85917,0.876227,cross court,Net,false,18:50:15,538.820007
Pash S,1,first_serve,Serve,Slice,64.991005,13,2,1,short,deuce,near,1.691225,6.569424,deep,deuce,far,-1.856979,24.460617,2.780606,down the T,In,false,18:50:20,544.109985
Opponent,2,first_return,Forehand,Topspin,45.952137,13,2,1,deep,deuce,far,-0.896628,20.543449,deep,deuce,near,2.873996,0.17258,0.865877,cross court,In,false,18:50:22,545.469971
Pash S,3,serve_plus_one,Forehand,Topspin,47.44228,13,2,1,short,ad,near,-3.248105,5.631671,out,deuce,far,-1.335615,25.534836,1.172773,down the line,In,false,18:50:23,547.01001
Opponent,4,return_plus_one,Backhand,Flat,35.070549,13,2,1,deep,ad,far,1.356665,21.36665,out,ad_alley,near,-4.191931,-0.788922,0.49263,down the line,In,false,18:50:25,548.609985
Pash S,5,in_play,Forehand,Topspin,47.746464,13,2,1,short,center_line,near,0.01531,6.209851,deep,ad,far,2.128304,23.237219,1.531156,inside in,In,false,18:50:27,551.059998
Opponent,6,in_play,Forehand,Topspin,51.378586,13,2,1,deep,deuce,far,-2.120677,18.724495,deep,ad,near,-0.813321,-0.357118,0.749068,inside in,In,false,18:50:29,552.51001
Pash S,7,in_play,Forehand,Slice,38.566895,13,2,1,deep,deuce,near,0.944252,2.654133,deep,deuce,far,-1.064657,24.945211,0.787067,cross court,In,false,18:50:30,553.929993
Opponent,8,in_play,Forehand,Topspin,46.117313,13,2,1,deep,ad,far,1.75534,19.091831,out,deuce,near,1.164408,-1.388788,0.892859,down the line,In,false,18:50:32,555.820007
Pash S,9,in_play,Backhand,Topspin,39.162102,13,2,1,deep,ad_alley,near,-5.086388,3.030655,deep,ad,far,1.408428,24.914188,0.857768,down the line,Out,false,18:50:34,557.52002
Opponent,10,in_play,Backhand,Slice,28.902735,13,2,1,out,ad_alley,near,-4.1148,-1.521176,deep,ad_alley,near,-5.227788,0.664731,0.822349,cross court,Net,false,18:50:36,560.039978
Opponent,12,none,Feed,Flat,20.784662,13,2,1,deep,deuce,far,-0.715787,19.702084,short,ad,near,-1.539741,7.140357,3.641863,---,In,false,18:50:42,566.039978
Opponent,1,first_serve,Serve,Flat,66.026726,14,2,1,short,ad,near,-2.591649,6.653894,deep,ad,far,0.782593,23.355911,2.939651,out wide,In,false,18:50:52,575.75
Pash S,2,first_return,Backhand,Slice,35.335732,14,2,1,short,deuce,far,-1.458367,15.510104,out,ad,near,-3.908923,-0.719058,1.066207,down the line,In,false,18:50:53,576.849976
Opponent,3,serve_plus_one,Forehand,Flat,32.222034,14,2,1,deep,deuce,near,0.975385,3.193111,deep,deuce,far,-0.83015,20.839399,0.60482,cross court,In,false,18:50:55,578.669983
Pash S,4,return_plus_one,Forehand,Topspin,41.594349,14,2,1,short,ad,far,1.749471,14.261662,deep,deuce,near,0.937877,-0.372457,1.046691,down the line,In,false,18:50:57,580.710022
Opponent,5,in_play,BH Volley,Flat,17.320551,14,2,1,short,ad,near,-0.075885,5.622455,short,ad,far,1.749471,15.470449,1.806437,cross court,In,false,18:50:58,581.659973
Pash S,6,in_play,Backhand,Topspin,39.979034,14,2,1,short,deuce,far,-1.552014,15.564105,deep,ad,near,-1.405196,-0.461583,0.653975,down the line,In,false,18:50:59,582.780029
Opponent,7,in_play,FH Volley,Flat,17.320551,14,2,1,out,deuce,near,1.836621,-0.984656,short,deuce,far,-1.552014,16.772894,0.665295,cross court,Out,false,18:51:00,583.76001
Opponent,1,first_serve,Serve,Slice,58.860233,15,3,1,short,deuce,far,-2.777298,14.627295,deep,deuce,near,0.530196,0.050186,2.65157,out wide,In,false,18:51:27,610.400024
Pash S,1,none,Feed,Topspin,17.320551,15,3,1,short,ad,near,-1.016571,5.533247,out,deuce,far,-2.531272,25.617754,0.750192,---,In,false,18:51:30,614.090027
Opponent,1,first_serve,Serve,Slice,54.786133,15,3,1,short,ad,near,-1.89946,11.78848,deep,deuce,near,0.790625,-0.08635,2.479454,out wide,Net,false,18:51:38,621.280029
Opponent,1,first_serve,Serve,Flat,55.128197,15,3,1,short,deuce,far,-2.49798,18.160393,out,ad,near,0.343309,-0.86168,2.58856,out wide,Out,false,18:51:44,627.450012
