Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time
Pash Sunuwar,1,first_serve,Serve,Slice,47.300659,175,0,0,service_box,ad,near,-0.603957,11.140784,out,deuce,near,0.903326,-0.638339,2.595908,down the T,Net,false,20:14:22,
Pash Sunuwar,1,second_serve,Serve,Slice,39.868038,176,0,0,service_box,deuce,far,-1.230794,12.371927,no_mans_land,deuce,near,0.511726,-0.405211,2.620014,down the T,In,false,20:14:39,
Opponent,2,return,Forehand,Topspin,35.161263,176,0,0,no_mans_land,deuce,near,1.488698,4.353437,no_mans_land,deuce,far,-2.659468,19.655811,0.824844,cross court,In,false,20:14:40,
Pash Sunuwar,3,serve_plus_one,Forehand,Topspin,47.127209,176,0,0,service_box,ad,far,1.301646,18.236794,out,deuce,near,2.593601,-1.474049,0.991485,down the line,In,false,20:14:42,
Opponent,4,return_plus_one,Forehand,Topspin,46.28791,176,0,0,no_mans_land,ad,near,-1.006236,4.052855,no_mans_land,ad,far,0.024086,23.430208,0.633619,inside out,In,false,20:14:44,
Pash Sunuwar,5,in_play,Backhand,Topspin,38.61137,176,0,0,service_box,deuce,far,-0.868774,14.247854,out,ad,near,-1.372015,-1.547132,0.743085,down the line,In,false,20:14:45,
Opponent,6,in_play,BH Volley,Flat,20.784662,176,0,0,service_box,ad,near,-0.821553,6.57398,service_box,deuce,far,-0.868774,15.456642,2.376961,down the line,In,false,20:14:46,
Pash Sunuwar,7,in_play,Backhand,Slice,32.308739,176,0,0,service_box,ad,far,1.139637,14.175707,no_mans_land,ad,near,-1.127307,0.30723,0.640374,cross court,In,false,20:14:48,
Opponent,8,in_play,Overhead,Flat,26.76627,176,0,0,service_box,ad,far,0.193376,16.634321,service_box,ad,far,1.139637,15.384495,2.3198,---,Net,false,20:14:49,
Opponent,1,first_serve,Serve,Slice,63.721893,177,0,0,service_box,ad,near,-1.896311,5.636953,no_mans_land,deuce,near,0.707961,0.622002,2.371958,out wide,Net,false,20:15:48,
Opponent,1,second_serve,Serve,Slice,65.355042,178,0,0,service_box,deuce,far,-1.935468,17.617434,no_mans_land,deuce,near,0.950323,-0.256009,2.567951,down the T,In,false,20:15:58,
Pash Sunuwar,2,return,Forehand,Slice,40.533073,178,0,0,no_mans_land,ad,near,-1.894423,1.631298,out,deuce_alley,far,-4.255941,25.43788,0.728968,down the line,In,false,20:16:00,
